cat,word/character,pronunciation,definition,code,alt
33,那,něi,(=哪 něi before classifier) which?,t,
34,要,yào,"want, will, shall, need, important, essential",s,
34,要,yào,"want, will, shall, need, important, essential",t,
35,下,xià,"below, under, (go) down, next (as opposed to previous/last){Compare with 上 shàng above}",s,
35,下,xià,"below, under, (go) down, next (as opposed to previous/last){Compare with 上 shàng above}",t,
36,以,yǐ,"use, take, according to, because of, in order to",s,
36,以,yǐ,"use, take, according to, because of, in order to",t,
37,生,shēng,"give birth, life",s,
37,生,shēng,"give birth, life",t,
38,会,huì,"can, able, meet, meeting, society, union, party",s,
38,會,huì,"can, able, meet, meeting, society, union, party",t,
39,自,zì,"from, since, (=自己 zìjǐ) self",s,
39,自,zì,"from, since, (=自己 zìjǐ) self",t,
40,着,zhe,<verb particle marking a continuing progress/state>,s,
40,著,zhe,<verb particle marking a continuing progress/state>,t,
40,着,zháo,touch,s,
40,著,zháo,touch,t,
40,着,zhuó,"wear clothes, dress, touch",s,
40,著,zhuó,"wear clothes, dress, touch",t,
40,招,zhāo,make move in chess,t,
40,着,zhāo,"put in, add, (F 招) make move in chess, trick, decieve",s,
40,著,zhāo,"put in, add, trick, decieve",t,
41,去,qù,"go, leave, depart (opposite of 来 lái)",s,
41,去,qù,"go, leave, depart (opposite of 来 lái)",t,
42,之,zhī,"<subordinator similar to 的 de>, it (in classical texts)",s,
42,之,zhī,"<subordinator similar to 的 de>, it (in classical texts)",t,
43,过,guò,"pass, cross, go by, exceed, <verb particle marking that someone has had the experience of doing something, that it hashappened at least once>",s,
43,過,guò,"pass, cross, go by, exceed, <verb particle marking that someone has had the experience of doing something, that it hashappened at least once>",t,
44,家,jiā,"home, house, family",s,
44,家,jiā,"home, house, family",t,
45,学,xué,"study, learn",s,
45,學,xué,"study, learn",t,
46,对,duì,"correct, answer, treat, agree, mutual, pair",s,
46,對,duì,"correct, answer, treat, agree, mutual, pair",t,
47,可,kě,"~able, (=可以 kěyǐ) may, can, (=可是 kěshì) but, however",s,
47,可,kě,"~able, (=可以 kěyǐ) may, can, (=可是 kěshì) but, however",t,
48,她,tā,"she, her",s,
48,她,tā,"she, her",t,
49,裏,lǐ,in,t,
49,裡,lǐ,in,t,
49,里,lǐ,"neighbourhood, half kilometer, <family name>, (F 裏,裡) in, inside, lining",s,
49,里,lǐ,"neighbourhood, half kilometer, <family name>, inside, lining",t,
50,後,hòu,after,t,
50,后,hòu,"queen, (F 後) after, behind, <family name>",s,
50,后,hòu,"queen, behind, <family name>",t,
51,小,xiǎo,small,s,
51,小,xiǎo,small,t,
52,麼,me/mo,(interrogative suffix,t,
52,末,me/mo,(interrogative suffix,t,
52,么,me/mo,"(F 麼,末) (interrogative suffix) 什么? shénme? what?",s,
52,么,me/mo,"(F 麼,末) (interrogative suffix) 什么? shénme? what?",t,
52,么,yāo,"(S 幺) youngest, one (e.g. in bus/house/phone numbers)",s,
52,么,yāo,"(S 幺) youngest, one (e.g. in bus/house/phone numbers)",t,
53,心,xīn,heart,s,
53,心,xīn,heart,t,
54,多,duō,"many, much, more",s,
54,多,duō,"many, much, more",t,
55,天,tiān,"sky, heaven, god, day, (=天空 tiānkōng) sky",s,
55,天,tiān,"sky, heaven, god, day, (=天空 tiānkōng) sky",t,
56,而,ér,"(=而且 érqiě) and, furthermore, (=然而 rán'ér) yet, even so",s,
56,而,ér,"(=而且 érqiě) and, furthermore, (=然而 rán'ér) yet, even so",t,
57,能,néng,"can, be able",s,
57,能,néng,"can, be able",t,
58,好,hǎo,"good, good to..., easy to...",s,
58,好,hǎo,"good, good to..., easy to...",t,
58,好,hào,to like,s,
58,好,hào,to like,t,
59,都,dōu,all,s,
59,都,dōu,all,t,
60,然,rán,"right, correct, so, like that",s,
